全国县级以上行政区划地名多音异读正音表
序号	地名	读音	首字母	所在省区	分类
1	代城	daicheng	d	河北	城市
2	蔚县	yu|xian	y	河北	城市
3	乐亭	lao|ting	l	河北	城市
4	洪洞	hong|tong	h	山西	城市
5	侯马	hou|ma	h	山西	城市
6	长子	zhang|zi	z	山西	城市
7	穆棱	mu|ling 	m	黑龙江	城市
8	绥棱	sui|leng	s	黑龙江	城市
9	阿城	a|cheng	a	黑龙江	城市
10	六合	lu|he	l	江苏	城市
11	台州	tai|zhou	t	浙江	城市
12	天台	tian|tai	t	浙江	城市
13	丽水	li|shui	l	浙江	城市
14	乐清	yue|qing	y	浙江	城市
15	歙县	she|xian	s	安徽	城市
16	六安	lu|an	l	安徽	城市
17	涡阳	guo|yang	g	安徽	城市
18	蚌埠	beng|bu	b	安徽	城市
19	闽侯	min|hou	m	福建	城市
20	铅山	yan|shan	y	江西	城市
21	万载	wan|zai	w	江西	城市
22	济南	ji|nan	j	山东	城市
23	单县	shan|xian	s	山东	城市
24	莘县	shen|xian	s	山东	城市
25	冠县	guan|xian	g	山东	城市
26	东阿	dong|e	d	山东	城市
27	牟平	mu|ping	m	山东	城市
28	尉氏	wei|shi	w	河南	城市
29	泌阳	bi|yang	b	河南	城市
30	渑池	mian|chi	m	河南	城市
31	浚县	xun|xian	x	河南	城市
32	黄陂	huang|pi	h	湖北	城市
33	监利	jian|li	j	湖北	城市
34	番禺	pan|yu	p	广东	城市
35	大埔	da|bu	d	广东	城市
36	通什	tongn|za	t	海南	城市
37	筠连	jun|lian	j	四川	城市
38	犍为	qian|wei	q	四川	城市
39	吴堡	wu|bu	w	陕西	城市
40	安塞	an|sai	a	陕西	城市
41	子长	zi|chang	z	陕西	城市
42	尉犁	yu|li	y	新疆	城市
43	荥阳	xing|yang	x	河南	城市
44	巴音郭楞	ba|yin|guo|leng	b	新疆	城市
45	亳州	bo|zhou	b	安徽	城市
46	巴彦淖尔	ba|yan|nao|er	b	内蒙古	城市
47	莘庄	xin|zhuang	x	上海	城市
48	柘城	zhe|cheng	z	河南	城市
49	涪陵	fu|ling	f	重庆	城市
50	莒县	ju|xian	j	山东	城市
51	大城	dai|cheng	d	dài	城市





















